,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,san andres,10,PH,1562872491,88,13.32,122.68,297.887,0.22
88,hoshcha,67,UA,1562872491,88,50.6,26.67,286.887,3.17
89,zyryanka,32,RU,1562872492,65,65.73,150.89,294.887,0.4
90,rafai,71,CF,1562872492,97,4.95,23.92,294.087,0.87
91,qaanaaq,5,GL,1562872492,47,77.48,-69.36,280.887,1.92
92,hobart,20,AU,1562872216,70,-42.88,147.33,281.15,9.8
93,norman wells,75,CA,1562872493,71,65.28,-126.83,285.15,6.7
94,saskylakh,100,RU,1562872493,95,71.97,114.09,285.187,0.85
95,fare,8,PF,1562872493,70,-16.7,-151.02,298.687,4.7
96,kushiro,100,JP,1562872494,96,43.11,144.15,283.787,0.58
97,kondopoga,95,RU,1562872494,76,62.21,34.27,283.15,3.0
98,yurgamysh,12,RU,1562872494,86,55.37,64.47,291.487,2.08
99,airai,0,TL,1562872495,78,-8.93,125.41,292.587,2.44
100,busselton,61,AU,1562872495,74,-33.64,115.35,281.48,5.48
101,cidreira,100,BR,1562872495,58,-30.17,-50.22,294.287,2.12
102,nikolskoye,40,RU,1562872496,62,59.7,30.79,284.82,3.0
103,port elizabeth,90,US,1562872496,78,39.31,-74.98,306.15,12.3
104,sao filipe,50,CV,1562872496,82,14.9,-24.5,295.487,5.36
105,manbij,0,SY,1562872497,32,36.53,37.96,301.15,10.3
106,barra da estiva,0,BR,1562872497,46,-13.63,-41.33,296.787,2.99
107,luderitz,0,NA,1562872497,82,-26.65,15.16,286.687,1.64
108,charlestown,75,US,1562872498,78,41.38,-71.64,301.15,4.1
109,dikson,100,RU,1562872341,96,73.51,80.55,273.687,1.78
110,beringovskiy,0,RU,1562872498,65,63.05,179.32,288.987,1.76
111,yerky,2,UA,1562872499,86,49.93,33.53,287.387,2.92
112,srednekolymsk,52,RU,1562872499,50,67.46,153.71,296.387,1.13
113,aklavik,75,CA,1562872500,66,68.22,-135.01,282.15,6.2
114,te anau,100,NZ,1562872301,86,-45.41,167.72,279.187,1.69
115,kaitangata,70,NZ,1562872500,90,-46.28,169.85,277.59,2.24
116,clyde river,75,CA,1562872500,71,70.47,-68.59,285.15,6.7
117,mount isa,97,AU,1562872501,33,-20.73,139.49,287.15,4.6
118,pisco,7,PE,1562872501,30,-13.71,-76.2,295.15,4.6
119,lodwar,73,KE,1562872502,32,3.12,35.6,304.887,8.47
120,ciudad bolivar,9,VE,1562872502,44,8.12,-63.55,305.487,3.04
121,akdepe,0,TM,1562872502,37,42.05,59.39,304.15,2.1
122,vaini,100,IN,1562872503,90,15.34,74.49,298.087,0.39
123,juneau,90,US,1562872503,87,58.3,-134.42,290.15,1.68
124,payakumbuh,0,ID,1562872504,97,-0.23,100.63,292.687,0.92
125,cabo san lucas,5,MX,1562872289,46,22.89,-109.91,309.82,4.1
126,fort-shevchenko,18,KZ,1562872504,72,44.51,50.26,300.487,5.76
127,port alfred,0,ZA,1562872505,88,-33.59,26.89,290.93,3.13
128,marystown,91,CA,1562872294,75,47.17,-55.16,285.687,6.72
129,hamilton,75,CA,1562872242,69,43.26,-79.87,303.15,7.7
130,naze,99,NG,1562872505,92,5.43,7.07,296.387,2.76
131,narsaq,20,GL,1562872506,62,60.91,-46.05,285.15,3.1
132,sambava,33,MG,1562872506,95,-14.27,50.17,291.687,0.95
133,phitsanulok,87,TH,1562872507,74,16.82,100.26,299.587,4.08
134,tugulym,0,RU,1562872507,88,57.06,64.64,294.26,3.0
135,buraydah,0,SA,1562872507,18,26.33,43.97,309.15,5.7
136,cape town,40,ZA,1562872812,87,-33.93,18.42,287.59,2.6
137,bambous virieux,20,MU,1562872508,82,-20.34,57.76,293.15,3.1
138,coihaique,75,CL,1562872257,93,-45.58,-72.07,281.15,2.1
139,miguel hidalgo,75,MX,1562872509,52,19.41,-99.19,298.15,4.1
140,saint-philippe,1,CA,1562872510,74,45.36,-73.48,300.37,2.6
141,graham,1,US,1562872510,55,33.11,-98.59,307.15,2.1
142,sioux lookout,40,CA,1562872510,47,50.1,-91.92,298.15,3.6
143,guerrero negro,0,MX,1562872511,85,27.97,-114.04,292.687,7.11
144,ola,0,RU,1562872511,83,59.58,151.3,283.687,1.26
145,lebu,75,ET,1562872511,82,8.96,38.73,290.15,3.1
146,san quintin,0,PH,1562872512,89,17.54,120.52,297.487,1.26
147,ous,96,RU,1562872512,73,60.91,61.52,288.787,3.15
148,nortelandia,17,BR,1562872512,23,-14.45,-56.8,306.087,2.69
149,yar-sale,100,RU,1562872513,90,66.83,70.83,288.687,5.24
150,thompson,90,CA,1562872513,87,55.74,-97.86,287.15,2.6
151,shimoda,90,JP,1562872513,94,34.7,138.93,293.15,4.1
152,port hardy,90,CA,1562872514,93,50.7,-127.42,288.15,2.6
153,barrow,100,AR,1562872514,59,-38.31,-60.23,288.087,0.43
154,bredasdorp,0,ZA,1562872515,71,-34.53,20.04,287.15,3.1
155,hilo,1,US,1562872515,69,19.71,-155.08,299.82,3.39
156,sitka,14,US,1562872515,57,37.17,-99.65,302.04,0.89
157,oussouye,40,SN,1562872516,74,12.49,-16.54,302.15,4.1
158,guanica,40,PR,1562872516,66,17.97,-66.91,304.26,9.8
159,vila velha,20,BR,1562872516,62,-3.71,-38.6,303.15,6.7
160,severo-kurilsk,100,RU,1562872517,96,50.68,156.12,279.087,5.01
161,costa rica,75,MX,1562872517,59,24.59,-107.39,307.59,5.1
162,svetlogorsk,0,RU,1562872517,59,53.14,59.15,290.15,3.0
163,geraldton,40,CA,1562872517,46,49.72,-86.95,294.15,6.2
164,oranjemund,0,ZA,1562872518,85,-28.55,16.43,286.787,3.11
165,port hedland,100,AU,1562872518,30,-20.31,118.58,293.15,4.1
166,lewisporte,90,CA,1562872519,100,49.25,-55.06,283.71,7.2
167,sandakan,75,MY,1562872519,94,5.84,118.12,298.15,1.9
168,emerald,0,AU,1562872519,93,-23.53,148.16,283.15,2.6
169,durusu,0,TR,1562872520,47,37.53,40.83,306.15,1.0
170,amapa,40,HN,1562872520,49,15.09,-87.97,307.15,5.1
171,albania,100,CO,1562872520,59,5.76,-73.91,299.587,1.9
172,plouzane,75,FR,1562872521,68,48.38,-4.62,294.15,4.1
